模型ID,名字,,,展示用模型偏移,展示用模型旋转,展示用模型缩放,
uint,string,float,string,Vector3,Vector3,Vector3,
,,,,,,,
ID,strName,fHeight,strFile,modelPosition,modelRotation,modelScale,
1,"",,"Assets/Datas/Objects/Submarines/qianting.prefab",,,,
2,"",,"Assets/Datas/Objects/Roles/Heros/1054chaoxiyongshi/1054chaoxiyongshi_L.prefab",,,,
2032,"",,"Assets/Datas/Objects/Soliders/easteregg_archer_0.prefab",,,,
2005,"",,"Assets/Datas/Objects/Soliders/easteregg_giant_0.prefab",,,,
2033,"",,"Assets/Datas/Objects/Soliders/easteregg_shield_0.prefab",,,,
2006,"",,"Assets/Datas/Objects/Soliders/elf_giant_0.prefab",,,,
2008,"",,"Assets/Datas/Objects/Soliders/elf_pilot_0.prefab",,,,
2009,"",,"Assets/Datas/Objects/Soliders/elf_royal_0.prefab",,,,
2019,"",,"Assets/Datas/Objects/Soliders/elf_shield_0.prefab",,,,
2020,"",,"Assets/Datas/Objects/Soliders/fire_archer_0.prefab",,,,
2023,"",,"Assets/Datas/Objects/Soliders/flame_archer_0.prefab",,,,
2043,"",,"Assets/Datas/Objects/Soliders/flame_shield_0.prefab",,,,
2001,"",,"Assets/Datas/Objects/Soliders/human_archer_0.prefab",,,,
2013,"",,"Assets/Datas/Objects/Soliders/human_giant_0.prefab",,,,
2012,"",,"Assets/Datas/Objects/Soliders/human_pilot_0.prefab",,,,
2051,"",,"Assets/Datas/Objects/Soliders/human_royal_0.prefab",,,,
2007,"",,"Assets/Datas/Objects/Soliders/undead_pilot_0.prefab",,,,
2058,"",,"Assets/Datas/Objects/Soliders/undead_archer_0.prefab",,,,
2015,"",,"Assets/Datas/Objects/Soliders/elf_archer_0.prefab",,,,
2016,"",,"Assets/Datas/Objects/Soliders/human_shield_0.prefab",,,,
2117,"",,"Assets/Datas/Objects/Roles/Monster/S1/s201.prefab",,,,
2118,"",,"Assets/Datas/Objects/Roles/Monster/S1/s202.prefab",,,,
2119,"",,"Assets/Datas/Objects/Roles/Monster/S1/s203.prefab",,,,
2120,"",,"Assets/Datas/Objects/Roles/Monster/S1/s204.prefab",,,,
2121,"",,"Assets/Datas/Objects/Roles/Monster/S1/s205.prefab",,,,
5000,"",,"Assets/Datas/Objects/Roles/BOSS/boss_2204/boss_5404.prefab",,,,
5001,"",,"Assets/Datas/Objects/Roles/BOSS/boss_2204/boss_5410.prefab",,,,
5002,"",,"Assets/Datas/Objects/Roles/BOSS/boss_2204/boss_5416.prefab",,,,
5003,"",,"Assets/Datas/Objects/Roles/BOSS/boss_2204/boss_5422.prefab",,,,
5004,"",,"Assets/Datas/Objects/Roles/BOSS/boss_2204/boss_5428.prefab",,,,
